++average   	++position_x	++position_y	++radius    	
$$0.16824	$$170.00000	$$140.00000	$$8.00000	
$$0.17343	$$172.00000	$$140.00000	$$8.00000	
$$0.16883	$$172.00000	$$140.00000	$$8.00000	
$$0.16458	$$172.00000	$$140.00000	$$8.00000	
$$0.16382	$$172.00000	$$140.00000	$$8.00000	
$$0.17402	$$172.00000	$$140.00000	$$8.00000	
$$0.18915	$$173.00000	$$140.00000	$$8.00000	
$$0.18992	$$173.00000	$$140.00000	$$8.00000	
$$0.19068	$$173.00000	$$140.00000	$$8.00000	
$$0.18167	$$172.00000	$$140.00000	$$8.00000	
$$0.18550	$$173.00000	$$140.00000	$$8.00000	
$$0.17878	$$173.00000	$$140.00000	$$8.00000	
$$0.17861	$$173.00000	$$140.00000	$$8.00000	
$$0.17751	$$172.00000	$$140.00000	$$8.00000	
$$0.18431	$$173.00000	$$140.00000	$$8.00000	
$$0.18082	$$173.00000	$$140.00000	$$8.00000	
$$0.17691	$$173.00000	$$140.00000	$$8.00000	
$$0.16832	$$172.00000	$$140.00000	$$8.00000	
$$0.16637	$$172.00000	$$140.00000	$$8.00000	
$$0.17087	$$172.00000	$$140.00000	$$8.00000	
$$0.17598	$$172.00000	$$140.00000	$$8.00000	
$$0.19281	$$173.00000	$$139.00000	$$8.00000	
$$0.19527	$$173.00000	$$140.00000	$$8.00000	
$$0.20012	$$172.00000	$$140.00000	$$8.00000	
$$0.20675	$$172.00000	$$140.00000	$$8.00000	
$$0.22069	$$173.00000	$$140.00000	$$8.00000	
$$0.22647	$$173.00000	$$140.00000	$$8.00000	
$$0.22885	$$172.00000	$$140.00000	$$8.00000	
$$0.23387	$$170.00000	$$140.00000	$$8.00000	
$$0.23914	$$170.00000	$$140.00000	$$8.00000	
$$0.26362	$$172.00000	$$140.00000	$$8.00000	
$$0.28768	$$172.00000	$$140.00000	$$8.00000	
$$0.29440	$$172.00000	$$140.00000	$$8.00000	
$$0.30715	$$172.00000	$$140.00000	$$8.00000	
$$0.30868	$$172.00000	$$140.00000	$$8.00000	
$$0.30961	$$172.00000	$$140.00000	$$8.00000	
$$0.32245	$$172.00000	$$139.00000	$$8.00000	
$$0.33053	$$172.00000	$$140.00000	$$8.00000	
$$0.32866	$$172.00000	$$140.00000	$$8.00000	
$$0.32934	$$172.00000	$$140.00000	$$8.00000	
$$0.32509	$$172.00000	$$140.00000	$$8.00000	
$$0.32398	$$172.00000	$$140.00000	$$8.00000	
$$0.32050	$$172.00000	$$142.00000	$$8.00000	
$$0.32466	$$172.00000	$$142.00000	$$8.00000	
$$0.32381	$$172.00000	$$142.00000	$$8.00000	
$$0.31378	$$172.00000	$$142.00000	$$8.00000	
$$0.31208	$$172.00000	$$142.00000	$$8.00000	
$$0.30936	$$172.00000	$$142.00000	$$8.00000	
$$0.31574	$$170.00000	$$140.00000	$$8.00000	
$$0.31047	$$170.00000	$$140.00000	$$8.00000	
$$0.30808	$$170.00000	$$140.00000	$$8.00000	
$$0.30868	$$170.00000	$$140.00000	$$8.00000	
$$0.30672	$$170.00000	$$140.00000	$$8.00000	
$$0.30332	$$170.00000	$$140.00000	$$8.00000	
$$0.30018	$$170.00000	$$139.00000	$$8.00000	
$$0.29576	$$170.00000	$$139.00000	$$8.00000	
$$0.27910	$$170.00000	$$139.00000	$$8.00000	
$$0.24373	$$170.00000	$$140.00000	$$8.00000	
$$0.23242	$$170.00000	$$139.00000	$$8.00000	
$$0.21262	$$170.00000	$$139.00000	$$8.00000	
$$0.19850	$$170.00000	$$140.00000	$$8.00000	
$$0.19884	$$170.00000	$$140.00000	$$8.00000	
$$0.20760	$$170.00000	$$139.00000	$$8.00000	
$$0.21959	$$170.00000	$$140.00000	$$8.00000	
$$0.22443	$$170.00000	$$140.00000	$$8.00000	
$$0.22545	$$170.00000	$$140.00000	$$8.00000	
$$0.22265	$$170.00000	$$142.00000	$$8.00000	
$$0.21449	$$170.00000	$$142.00000	$$8.00000	
$$0.20394	$$170.00000	$$140.00000	$$8.00000	
$$0.18813	$$170.00000	$$140.00000	$$8.00000	
$$0.18346	$$170.00000	$$140.00000	$$8.00000	
$$0.18371	$$170.00000	$$139.00000	$$8.00000	
$$0.17853	$$170.00000	$$139.00000	$$8.00000	
$$0.17266	$$170.00000	$$140.00000	$$8.00000	
$$0.16390	$$170.00000	$$140.00000	$$8.00000	
$$0.16186	$$170.00000	$$140.00000	$$8.00000	
$$0.15982	$$170.00000	$$140.00000	$$8.00000	
$$0.16101	$$170.00000	$$140.00000	$$8.00000	
$$0.15600	$$170.00000	$$140.00000	$$8.00000	
$$0.15557	$$170.00000	$$140.00000	$$8.00000	
$$0.15676	$$170.00000	$$140.00000	$$8.00000	
$$0.15438	$$170.00000	$$140.00000	$$8.00000	
$$0.15540	$$170.00000	$$140.00000	$$8.00000	
$$0.15685	$$170.00000	$$140.00000	$$8.00000	
$$0.15736	$$170.00000	$$140.00000	$$8.00000	
$$0.15702	$$170.00000	$$140.00000	$$8.00000	
$$0.15957	$$170.00000	$$140.00000	$$8.00000	
$$0.16178	$$170.00000	$$140.00000	$$8.00000	
$$0.17070	$$170.00000	$$140.00000	$$8.00000	
$$0.18023	$$170.00000	$$140.00000	$$8.00000	
$$0.19085	$$170.00000	$$140.00000	$$8.00000	
$$0.19952	$$170.00000	$$140.00000	$$8.00000	
$$0.20973	$$170.00000	$$140.00000	$$8.00000	
$$0.22103	$$170.00000	$$140.00000	$$8.00000	
$$0.22256	$$170.00000	$$140.00000	$$8.00000	
$$0.22673	$$170.00000	$$140.00000	$$8.00000	
$$0.22834	$$170.00000	$$140.00000	$$8.00000	
$$0.22851	$$170.00000	$$140.00000	$$8.00000	
$$0.23081	$$170.00000	$$140.00000	$$8.00000	
$$0.23506	$$170.00000	$$140.00000	$$8.00000	
$$0.26201	$$170.00000	$$140.00000	$$8.00000	
$$0.25946	$$170.00000	$$140.00000	$$8.00000	
$$0.26192	$$170.00000	$$140.00000	$$8.00000	
$$0.26371	$$170.00000	$$140.00000	$$8.00000	
$$0.26651	$$170.00000	$$140.00000	$$8.00000	
$$0.26864	$$170.00000	$$140.00000	$$8.00000	
$$0.27144	$$170.00000	$$140.00000	$$8.00000	
$$0.26796	$$170.00000	$$140.00000	$$8.00000	
$$0.26881	$$170.00000	$$140.00000	$$8.00000	
$$0.27085	$$170.00000	$$140.00000	$$8.00000	
$$0.27102	$$170.00000	$$140.00000	$$8.00000	
$$0.27212	$$170.00000	$$140.00000	$$8.00000	
$$0.27612	$$170.00000	$$140.00000	$$8.00000	
$$0.28071	$$170.00000	$$140.00000	$$8.00000	
$$0.28369	$$170.00000	$$140.00000	$$8.00000	
$$0.28411	$$170.00000	$$140.00000	$$8.00000	
$$0.28615	$$170.00000	$$140.00000	$$8.00000	
$$0.27969	$$170.00000	$$140.00000	$$8.00000	
$$0.27765	$$170.00000	$$140.00000	$$8.00000	
$$0.26906	$$170.00000	$$140.00000	$$8.00000	
$$0.24458	$$170.00000	$$140.00000	$$8.00000	
$$0.22630	$$170.00000	$$140.00000	$$8.00000	
$$0.21117	$$170.00000	$$140.00000	$$8.00000	
$$0.19553	$$170.00000	$$140.00000	$$8.00000	
$$0.19315	$$170.00000	$$140.00000	$$8.00000	
$$0.18898	$$170.00000	$$140.00000	$$8.00000	
$$0.18456	$$170.00000	$$140.00000	$$8.00000	
$$0.18167	$$170.00000	$$140.00000	$$8.00000	
$$0.17547	$$170.00000	$$140.00000	$$8.00000	
$$0.17547	$$170.00000	$$140.00000	$$8.00000	
$$0.17530	$$170.00000	$$140.00000	$$8.00000	
$$0.17334	$$170.00000	$$140.00000	$$8.00000	
$$0.17326	$$170.00000	$$140.00000	$$8.00000	
$$0.17147	$$170.00000	$$140.00000	$$8.00000	
$$0.16773	$$170.00000	$$140.00000	$$8.00000	
$$0.16713	$$170.00000	$$140.00000	$$8.00000	
$$0.16620	$$170.00000	$$140.00000	$$8.00000	
$$0.16025	$$170.00000	$$140.00000	$$8.00000	
$$0.15506	$$170.00000	$$140.00000	$$8.00000	
$$0.15005	$$170.00000	$$140.00000	$$8.00000	
$$0.15710	$$170.00000	$$140.00000	$$8.00000	
$$0.15600	$$170.00000	$$140.00000	$$8.00000	
