++average   	++position_x	++position_y	++radius    	++flow      	
$$0.15052	$$188.00000	$$157.00000	$$8.00000	$$13.00000	
$$0.11032	$$190.00000	$$157.00000	$$8.00000	$$10.99000	
$$0.11167	$$190.00000	$$157.00000	$$8.00000	$$7.45000	
$$0.12175	$$190.00000	$$157.00000	$$8.00000	$$3.72000	
$$0.13690	$$190.00000	$$157.00000	$$8.00000	$$0.00000	
$$0.15578	$$190.00000	$$157.00000	$$8.00000	$$-2.85000	
$$0.16387	$$190.00000	$$157.00000	$$8.00000	$$-3.57000	
$$0.17164	$$190.00000	$$157.00000	$$8.00000	$$-4.26000	
$$0.17806	$$190.00000	$$157.00000	$$8.00000	$$-5.73000	
$$0.19193	$$190.00000	$$157.00000	$$8.00000	$$-6.92000	
$$0.19489	$$190.00000	$$157.00000	$$8.00000	$$-7.20000	
$$0.19951	$$190.00000	$$157.00000	$$8.00000	$$-7.51000	
$$0.20105	$$190.00000	$$157.00000	$$8.00000	$$-7.36000	
$$0.20330	$$190.00000	$$157.00000	$$8.00000	$$-9.85000	
$$0.20439	$$190.00000	$$157.00000	$$8.00000	$$-14.94000	
$$0.20163	$$190.00000	$$157.00000	$$8.00000	$$-16.17000	
$$0.20028	$$190.00000	$$157.00000	$$8.00000	$$-14.66000	
$$0.19996	$$190.00000	$$157.00000	$$8.00000	$$-13.70000	
$$0.20112	$$190.00000	$$157.00000	$$8.00000	$$-12.18000	
$$0.20144	$$190.00000	$$157.00000	$$8.00000	$$-13.46000	
$$0.20561	$$190.00000	$$157.00000	$$8.00000	$$-15.72000	
$$0.20741	$$190.00000	$$157.00000	$$8.00000	$$-19.11000	
$$0.20953	$$190.00000	$$157.00000	$$8.00000	$$-17.92000	
$$0.20889	$$190.00000	$$157.00000	$$8.00000	$$-15.13000	
$$0.20593	$$190.00000	$$157.00000	$$8.00000	$$-13.86000	
$$0.20304	$$190.00000	$$157.00000	$$8.00000	$$-13.29000	
$$0.20356	$$190.00000	$$157.00000	$$8.00000	$$-12.41000	
$$0.20086	$$190.00000	$$157.00000	$$8.00000	$$-12.56000	
$$0.19746	$$190.00000	$$157.00000	$$8.00000	$$-11.65000	
$$0.19264	$$190.00000	$$157.00000	$$8.00000	$$-11.07000	
$$0.18943	$$190.00000	$$157.00000	$$8.00000	$$-11.70000	
$$0.18571	$$190.00000	$$157.00000	$$8.00000	$$-11.73000	
$$0.18519	$$190.00000	$$157.00000	$$8.00000	$$-12.11000	
